순번,출원일,출원번호,등록일,등록번호,주발명자,공동발명자,출원의 명칭(한),분야별 기술(6T),데이터기준일
1,2021-06-30,10-2021-0085670,2024-05-08,10-2665794,전주환,"전주환,김형일,오선진",레이다 신호 파형을 이용한 다중 표적 탐지 방법 및  시스템,정보기술(IT),2024-12-31
2,2019-04-19,10-2019-0046277,2024-06-04,10-2673761,전주환,"전주환,이혁중,황성현,유성진,변우진",시간 영역 상관 관계 기법에 기초한 차량의 전방 관측 레이더 영상 생성 장치 및 그 방법,정보기술(IT),2024-12-31
3,2016-08-23,10-2016-0107148,2024-09-10,10-2706981,문재균,"문재균,최병준,윤성환","컨트롤러, 반도체 메모리 시스템 및 그것의 동작 방법",정보기술(IT),2024-12-31
4,2019-04-23,10-2019-0047574,2024-11-11,10-2730539,이덕주,"이덕주,서동호,조덕형,정계현,이용철,김영식,신달흔,권오준",터보차저 컴프레서휠,나노기술(NT),2024-12-31
5,2016-09-07,10-2016-0114923,2024-09-10,10-2706994,하정석,"하정석,김대성","메모리 컨트롤러, 반도체 메모리 시스템 및 그것의 동작 방법",정보기술(IT),2024-12-31
6,2016-06-21,10-2016-0077123,2024-04-23,10-2661548,원용협,"원용협,이준식,신두섭",액체 렌즈 및 액체 렌즈 모듈,나노기술(NT),2024-12-31
7,2019-05-07,10-2019-0053338,2024-08-08,10-2694907,윤성의,"윤성의,백종희,오소진,문보창,하새롬",실사 이미지 생성장치,정보기술(IT),2024-12-31
8,2016-07-21,10-2016-0092551,2024-05-13,10-2666852,하정석,"하정석,김대성,정수황","컨트롤러, 반도체 메모리 시스템 및 그의 동작 방법",정보기술(IT),2024-12-31
9,2016-07-18,10-2016-0090742,2024-01-03,10-2622053,임춘택,"임춘택,이은수,최병국,최진수,김호직,최용호,임상민,박영찬,이규성","전자장치, 디스플레이 장치 및 그 장치들의 구동방법",정보기술(IT),2024-12-31
10,2016-09-07,10-2016-0114936,2024-09-30,10-2714110,문재균,"문재균,강순영,윤성환","메모리 컨트롤러, 반도체 메모리 시스템 및 그것의 동작 방법",정보기술(IT),2024-12-31
